city,language,variant_count,urls,avg_place_overlap_pct,avg_theme_overlap_pct,judgment
사이판,ko,3,"/destinations/%EC%82%AC%EC%9D%B4%ED%8C%90/%EC%82%AC%EC%9D%B4%ED%8C%90/saipan-friends-3days (friends-3d, views=49) | /destinations/%EC%82%AC%EC%9D%B4%ED%8C%90/%EC%82%AC%EC%9D%B4%ED%8C%90/saipan-couple-3days (couple-3d, views=32) | /destinations/%EC%82%AC%EC%9D%B4%ED%8C%90/%EC%82%AC%EC%9D%B4%ED%8C%90/saipan-solo-2days (solo-2d, views=91)",16.7,0.0,차별화충분
후쿠오카,ko,3,"/destinations/%EC%9D%BC%EB%B3%B8/%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4/fukuoka-couple-3days (couple-3d, views=48) | /destinations/%EC%9D%BC%EB%B3%B8/%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4/fukuoka-friends-3days (friends-3d, views=59) | /destinations/%EC%9D%BC%EB%B3%B8/%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4/fukuoka-solo-2days (solo-2d, views=81)",18.3,0.0,차별화충분
마닐라,ko,3,"/destinations/%ED%95%84%EB%A6%AC%ED%95%80/%EB%A7%88%EB%8B%90%EB%9D%BC/manila-friends-3days (friends-3d, views=54) | /destinations/%ED%95%84%EB%A6%AC%ED%95%80/%EB%A7%88%EB%8B%90%EB%9D%BC/manila-solo-2days (solo-2d, views=39) | /destinations/%ED%95%84%EB%A6%AC%ED%95%80/%EB%A7%88%EB%8B%90%EB%9D%BC/manila-couple-3days (couple-3d, views=61)",19.5,0.0,차별화충분
호치민,ko,3,"/destinations/%EB%B2%A0%ED%8A%B8%EB%82%A8/%ED%98%B8%EC%B9%98%EB%AF%BC/ho-chi-minh-couple-3days (couple-3d, views=50) | /destinations/%EB%B2%A0%ED%8A%B8%EB%82%A8/%ED%98%B8%EC%B9%98%EB%AF%BC/ho-chi-minh-solo-2days (solo-2d, views=31) | /destinations/%EB%B2%A0%ED%8A%B8%EB%82%A8/%ED%98%B8%EC%B9%98%EB%AF%BC/ho-chi-minh-friends-3days (friends-3d, views=44)",19.8,0.0,차별화충분
타이베이,ko,3,"/destinations/%EB%8C%80%EB%A7%8C/%ED%83%80%EC%9D%B4%EB%B2%A0%EC%9D%B4/taipei-solo-2days (solo-2d, views=99) | /destinations/%EB%8C%80%EB%A7%8C/%ED%83%80%EC%9D%B4%EB%B2%A0%EC%9D%B4/taipei-couple-3days (couple-3d, views=57) | /destinations/%EB%8C%80%EB%A7%8C/%ED%83%80%EC%9D%B4%EB%B2%A0%EC%9D%B4/taipei-friends-3days (friends-3d, views=95)",11.4,0.0,차별화충분
오사카,ko,4,"/destinations/%EC%9D%BC%EB%B3%B8/%EC%98%A4%EC%82%AC%EC%B9%B4/osaka-solo-3days (solo-3d, views=59) | /destinations/%EC%9D%BC%EB%B3%B8/%EC%98%A4%EC%82%AC%EC%B9%B4/osaka-family-4days (family-4d, views=115) | /destinations/%EC%9D%BC%EB%B3%B8/%EC%98%A4%EC%82%AC%EC%B9%B4/osaka-friends-3days (friends-3d, views=55) | /destinations/%EC%9D%BC%EB%B3%B8/%EC%98%A4%EC%82%AC%EC%B9%B4/osaka-couple-3days (couple-3d, views=215)",10.0,2.8,차별화충분
괌,ko,3,"/destinations/%EA%B4%8C/%EA%B4%8C/guam-solo-2days (solo-2d, views=39) | /destinations/%EA%B4%8C/%EA%B4%8C/guam-couple-3days (couple-3d, views=52) | /destinations/%EA%B4%8C/%EA%B4%8C/guam-friends-3days (friends-3d, views=61)",14.2,0.0,차별화충분
타이중,ko,3,"/destinations/%EB%8C%80%EB%A7%8C/%ED%83%80%EC%9D%B4%EC%A4%91/taichung-friends-3days (friends-3d, views=45) | /destinations/%EB%8C%80%EB%A7%8C/%ED%83%80%EC%9D%B4%EC%A4%91/taichung-couple-3days (couple-3d, views=61) | /destinations/%EB%8C%80%EB%A7%8C/%ED%83%80%EC%9D%B4%EC%A4%91/taichung-solo-2days (solo-2d, views=127)",14.9,0.0,차별화충분
치앙마이,ko,4,"/destinations/%ED%83%9C%EA%B5%AD/%EC%B9%98%EC%95%99%EB%A7%88%EC%9D%B4/chiang-mai-friends-3days (friends-3d, views=68) | /destinations/%ED%83%9C%EA%B5%AD/%EC%B9%98%EC%95%99%EB%A7%88%EC%9D%B4/chiang-mai-solo-3days (solo-3d, views=67) | /destinations/%ED%83%9C%EA%B5%AD/%EC%B9%98%EC%95%99%EB%A7%88%EC%9D%B4/chiang-mai-family-4days (family-4d, views=56) | /destinations/%ED%83%9C%EA%B5%AD/%EC%B9%98%EC%95%99%EB%A7%88%EC%9D%B4/chiang-mai-couple-3days (couple-3d, views=77)",14.7,3.3,차별화충분
교토,ko,4,"/destinations/%EC%9D%BC%EB%B3%B8/%EA%B5%90%ED%86%A0/kyoto-solo-3days (solo-3d, views=120) | /destinations/%EC%9D%BC%EB%B3%B8/%EA%B5%90%ED%86%A0/kyoto-friends-3days (friends-3d, views=58) | /destinations/%EC%9D%BC%EB%B3%B8/%EA%B5%90%ED%86%A0/kyoto-family-4days (family-4d, views=78) | /destinations/%EC%9D%BC%EB%B3%B8/%EA%B5%90%ED%86%A0/kyoto-couple-3days (couple-3d, views=62)",36.0,8.3,차별화충분
